@RELATION drive
@ATTRIBUTE Velocity NUMERIC
@ATTRIBUTE LateralVelocity NUMERIC
@ATTRIBUTE LaneOffset NUMERIC
@ATTRIBUTE LatAcc NUMERIC
@ATTRIBUTE LonAcc NUMERIC
@ATTRIBUTE HeadingError NUMERIC
@ATTRIBUTE Lane NUMERIC
@ATTRIBUTE previousSteer NUMERIC
@ATTRIBUTE previousThrottle NUMERIC
@ATTRIBUTE previousBrake NUMERIC
@ATTRIBUTE stopDelay NUMERIC
@ATTRIBUTE STOP NUMERIC
@ATTRIBUTE SpeedLimit NUMERIC
@ATTRIBUTE IntersectionLeftTurn NUMERIC
@ATTRIBUTE IntersectionRightTurn NUMERIC
@ATTRIBUTE IntersectionLeftIntersection NUMERIC
@ATTRIBUTE IntersectionRightIntersection NUMERIC
@ATTRIBUTE LightDistance NUMERIC
@ATTRIBUTE LightStatus NUMERIC
@ATTRIBUTE DistanceOfNextTurn NUMERIC
@ATTRIBUTE AngleOfNextTurn NUMERIC
@ATTRIBUTE DistanceOfLastTurn NUMERIC
@ATTRIBUTE AngleOfLastTurn NUMERIC
@ATTRIBUTE OtherVehicleRay1_D NUMERIC
@ATTRIBUTE OtherVehicleRay1_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay2_D NUMERIC
@ATTRIBUTE OtherVehicleRay2_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay3_D NUMERIC
@ATTRIBUTE OtherVehicleRay3_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay4_D NUMERIC
@ATTRIBUTE OtherVehicleRay4_DeltaV NUMERIC
@ATTRIBUTE Steer NUMERIC
@ATTRIBUTE Brake NUMERIC
@ATTRIBUTE Throttle NUMERIC
@DATA
18.414618,-1.616098,0.287363,-4.884405,1.059505,0.3451630149387264,1.0,-10.40364,20.230455,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1190.8079894669163,6.99999953831504,300.0,0.0,133.214335,-17.705649347242428,300.0,0.0,300.0,0.0,300.0,0.0,-9.677385,0.0,20.230455
19.81091,-0.963405,0.81015,-2.932273,1.292454,0.12359332677170608,1.0,-5.745241,20.230455,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1187.2828331104868,6.99999953831504,300.0,0.0,129.673884,-19.77606813305087,300.0,0.0,300.0,0.0,300.0,0.0,-5.219727,0.0,20.230455
21.102217,-0.513168,0.853393,-1.749236,1.309218,-0.005909999006518102,1.0,-3.159371,20.325773,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1183.4708165149445,6.99999953831504,300.0,0.0,125.875808,-21.047695127910142,300.0,0.0,300.0,0.0,300.0,0.0,-2.770696,0.0,20.325773
22.397486,-0.074092,0.608269,0.007487,1.449441,-0.0679581992441682,1.0,-0.371362,25.329832,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1179.4283997188263,6.99999953831504,300.0,0.0,121.86865,-22.184468449814922,300.0,0.0,300.0,0.0,300.0,0.0,0.108092,0.0,25.520462
23.745489,0.099993,0.326512,0.624964,1.431381,-0.06091059463120022,1.0,0.738554,27.045509,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1175.1393790513375,6.99999953831504,300.0,0.0,117.62217,-23.5264307155447,300.0,0.0,300.0,0.0,300.0,0.0,0.830776,0.0,27.045509
25.035042,0.099422,0.127097,0.642425,1.302388,-0.0373273741656957,1.0,0.739145,25.091543,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1170.5983502423533,6.99999953831504,300.0,0.0,113.120575,-24.863409546962206,300.0,0.0,300.0,0.0,300.0,0.0,0.782094,0.0,25.091543
26.226911,0.064131,0.029101,0.487592,1.258031,-0.013375976494481936,1.0,0.623411,25.091543,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1165.8242648700004,6.99999953831504,300.0,0.0,108.380017,-26.10189338595605,300.0,0.0,300.0,0.0,300.0,0.0,0.484089,0.0,24.996229
27.316617,4.94E-4,0.004263,0.029172,1.107334,-0.0027006177647812377,1.0,0.04095,21.755503,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1160.8347801663526,6.99999953831504,300.0,0.0,103.419586,-27.202777977460368,300.0,0.0,300.0,0.0,300.0,0.0,-0.027644,0.0,21.755503
28.33917,-0.003149,-0.013764,-0.074971,1.087236,-0.004488585410401681,1.0,-0.089756,21.850821,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1155.6509074518876,6.99999953831504,300.0,0.0,98.266377,-28.203325175077826,300.0,0.0,300.0,0.0,300.0,0.0,-0.059886,0.0,21.755503
29.2511,0.002655,-0.041882,0.009761,0.878628,-0.005422545999729096,1.0,0.023234,17.180363,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1150.2835225734088,6.99999953831504,300.0,0.0,92.933358,-29.09132217886679,300.0,0.0,300.0,0.0,300.0,0.0,0.017772,0.0,17.609283
30.034451,0.001867,-0.069672,0.031809,0.824362,-0.004728044583774919,1.0,0.029993,18.70541,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1144.7614467120593,6.99999953831504,300.0,0.0,87.448897,-29.85148439236544,300.0,0.0,300.0,0.0,300.0,0.0,0.032553,0.0,18.70541
30.786682,-7.3E-4,-0.093331,0.024812,0.793175,-0.003775915116934478,1.0,0.018559,18.800726,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1139.0963635225216,6.99999953831504,300.0,0.0,81.825915,-30.57594050524251,300.0,0.0,300.0,0.0,300.0,0.0,0.017446,0.0,18.800726
31.514017,-3.28E-4,-0.113303,0.01889,0.770888,-0.003158574707211602,1.0,0.014792,18.800726,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1133.2936321682391,6.99999953831504,300.0,0.0,76.07107,-31.266815943446964,300.0,0.0,300.0,0.0,300.0,0.0,0.014859,0.0,18.800726
32.22271,5.29E-4,-0.130286,0.026395,0.752053,-0.002581341963699488,1.0,0.021213,18.800726,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1127.357200496458,6.99999953831504,300.0,0.0,70.190138,-31.92822669394509,300.0,0.0,300.0,0.0,300.0,0.0,0.024478,0.0,18.800726
32.91627,3.02E-4,-0.142624,0.050697,0.733736,-0.0014764263741392828,1.0,0.043448,18.800726,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1121.2902128806595,6.99999953831504,300.0,0.0,64.188479,-32.561806700410706,300.0,0.0,300.0,0.0,300.0,0.0,0.044574,0.0,18.800726
